id,description,title
9169,"Antrag nach dem Informationsfreiheitsgesetz NRW, UIG NRW, VIG

Sehr geehrte Damen und Herren, 

bitte senden Sie mir Folgendes zu:

Ich bitte mitzuteilen, wie viele Schulen welchen Typs von den Schließungen betroffen sind und wie viele in folge dessen betroffen sind, sowie wie die Stadt DO vor hat, diese zu kompensieren. 


Dies ist ein Antrag nach dem Gesetz über die Freiheit des Zugangs zu Informationen für das Land Nordrhein-Westfalen (Informationsfreiheitsgesetz Nordrhein-Westfalen – IFG NRW), dem Umweltinformationsgesetz Nordrhein-Westfalen (soweit Umweltinformationen betroffen sind) und dem Verbraucherinformationsgesetz des Bundes (soweit Verbraucherinformationen betroffen sind).

Ausschlussgründe liegen meines Erachtens nicht vor.

Aus Gründen der Billigkeit und insbesondere auf Grund des Umstands, dass die Auskunft in gemeinnütziger Art der Öffentlichkeit zur Verfügung gestellt werden wird, bitte ich Sie, nach § 2 VerwGebO IFG NRW von der Erhebung von Gebühren abzusehen. Soweit Umweltinformationen betroffen sind, handelt es sich hierbei um eine einfache Anfrage nach §5 (2) UIG NRW.

Sollte die Aktenauskunft Ihres Erachtens gebührenpflichtig sein, bitte ich Sie, mir dies vorab mitzuteilen und dabei die Höhe der Kosten anzugeben.Sollten Sie mir dies nicht mitteilen und folge dessen Gebühren erheben, habe ich als Antragsteller das Recht die Zahlung der Gebühren zu verweigern ohne jegliche Konsequenzen.

Ich verweise auf § 5 Abs. 2 IFG NRW, § 2 UIG NRW und bitte Sie, mir die erbetenen Informationen unverzüglich, spätestens nach Ablauf eines Monats zugänglich zu machen.

Sollten Sie für diesen Antrag nicht zuständig sein, möchte ich Sie bitten, ihn an die zuständige Behörde weiterzuleiten und mich darüber zu unterrichten.

Nach §5 Abs. 1 Satz 5 IFG NRW bitte ich Sie um eine Antwort in elektronischer Form (E-Mail). Gegebenfalls behalte ich mir vor, nach Eingang Ihrer Auskünfte um weitere ergänzende Auskünfte nachzusuchen.

Ich möchte Sie um Empfangsbestätigung bitten und danke Ihnen für Ihre Mühe!


Mit freundlichen Grüßen",Schließung diverser Schulen
32464,"Antrag nach dem IFG/UIG/VIG

Sehr geehrte Damen und Herren, 

bitte senden Sie mir Folgendes zu:

Auf welche Summe beliefen sich die Ausgaben für Schreibmaterialien in den Jahren 2016 und 2017?
Ausgaben bitte so differenziert aufschlüsseln wie möglich (Stifte, Schreibblöcke, Notizhefte, Post-ITs und weitere) und für beide Jahre jeweils separat. 

Dies ist ein Antrag auf Zugang zu amtlichen Informationen nach § 1 des Gesetzes zur Regelung des Zugangs zu Informationen des Bundes (IFG) sowie § 3 Umweltinformationsgesetz (UIG), soweit Umweltinformationen im Sinne des § 2 Abs. 3 UIG betroffen sind, sowie § 1 des Gesetzes  zur Verbesserung der gesundheitsbezogenen Verbraucherinformation (VIG), soweit Informationen im Sinne des § 1 Abs. 1 VIG betroffen sind.

Sollte der Informationszugang Ihres Erachtens gebührenpflichtig sein, möchte ich Sie bitten, mir dies vorab mitzuteilen und detailliert die zu erwartenden Kosten aufzuschlüsseln. Meines Erachtens handelt es sich um eine einfache Auskunft. Gebühren fallen somit  nach § 10 IFG bzw. den anderen Vorschriften nicht an. Auslagen dürfen nach BVerwG 7 C 6.15 nicht berechnet werden.

Ich verweise auf § 7 Abs. 5 IFG/§ 3 Abs. 3 Satz 2 Nr. 1 UIG/§ 4 Abs. 2 VIG und bitte Sie, mir die erbetenen Informationen so schnell wie möglich, spätestens nach Ablauf eines Monats zugänglich zu machen. Kann diese Frist nicht eingehalten werden, müssen Sie mich darüber innerhalb der Frist informieren.

Ich bitte Sie um eine Antwort per E-Mail gemäß § 1 Abs. 2 IFG. Ich widerspreche ausdrücklich der Weitergabe meiner Daten an Dritte. 

Ich möchte Sie um eine Empfangsbestätigung bitten und danke Ihnen für Ihre Mühe!

Mit freundlichen Grüßen",Ausgaben für Schreibmaterialien
279769,"Standortbescheinigung aus EMF-Datenbank Nr. 882069 inkl. technischer Datenblätter.
Vielen Dank!","EMF Datenbank, Standortbescheinigung 882069"
232558,"Ausgaben in Millionen für Bildung und Teilhabe nach dem SGB2 §28.
Bitte ausgeschlüsselt nach:
Persönlicher Schulbedarf
Kulturelle und soziale Teilhabe
Mittagsverpflegung
Lernförderung 
Klassenfahrten
Jeweils für die Jahre 2015-2018.",Bildungs und Teilhabepaket
56660,"den Endbericht bzw. das Gutachten zum Projekt ""Analyse und Modellierung der Energieverbrauchsentwicklung"", veröffentlicht in 2009. Projektnehmer waren die Prognos AG und die GWS mbH.",Analyse und Modellierung der Energieverbrauchsentwicklung (2009)
62603,"Der Anteil der Fälle von durch Krankheit verursachter Prüfungsunfähigkeit der letzten zwei
vollständig erfassten Jahre aufgeschlüsselt nach Prüfungszeitraum.",Krankheitsfälle bei Prüfungen an der Uni Hamburg
192084,"Ich darf innerhalb der EU 166,67 Schachteln Heets im Rahmen der Reisefreimenge einführen. Zumindest wenn die Heets mit Metallfolie ummantelt sind und sie nur mit einem Erhitzer geraucht werden können.
Wie viele Packungen darf ich im Rahmen der Reisefreimenge einführen wenn ich zusätzlich 400 Zigaretten einführe? Darf ich dann 83,33 Schachteln einführen?",Reisefreimenge innerhalb der EU Heets kombiniert mit Zigaretten
17833,"1.) Bitte teilen Sie mir mit, ob Regelungen existieren, ab wann eine Einschaltung der Schulaufsicht durch Eltern bzw. Schüler zulässig ist. Sofern hierzu Regelungen existieren oder die ADD allgemeine  Informationen über die Verfahrensweise bei Schüler- oder Elternbeschwerden hat, bitte ich Sie ebenfalls um Übersendung der Informationen.

2.) Welche Aufgaben aus dem Bereich Schulaufsicht fallen in den Bereich des Ministeriums, welche in den Aufgabenbereich der ADD?

3.) Bitte übersende Sie mir sämtliche Vorschriften über die Regelung der Schulaufsicht sowie die Interessenswahrnehmung durch Schüler und Eltern.

3.) In § 67 Abs. 1 der Schulordnung für die öffentlichen berufsbildenden Schulen heißt es: ""Die Hausordnung soll insbesondere Regelungen für das Verhalten bei Gefahr und Unfällen, in Pausen und Freistunden, vor Beginn und nach Beendigung des Unterrichts sowie für das Verlassen des Schulgeländes und die Benutzung der Einrichtungen der Schule enthalten.""
Bitte teilen Sie mir mit, welche Regelungen die Schulen im einzelnen treffen können und welche Regelungen nicht mehr in den Kompetenzbereich der Schulen fallen. Weiterhin bitte ich Sie um eine Übersicht darüber, welche Regelungen in den Hausordnungen von rheinland-pfälzischen berufsbildenden Schulen getroffen wurden. Sofern diese Informationen nicht gesammelt bei Ihnen vorliegen oder statistisch erfasst werden, bitte ich ebenfalls um Information.","Regelungen zur Schulaufsicht, Verwaltungsvorschriften öffentliche berufsbildende Schulen betreffend"
279048,"Antrag nach dem IFG/UIG/VIG

Guten Tag,

bitte senden Sie mir Folgendes zu:

- sämtliche Sitzungsprotokolle des Beirats Digitalstrategie Deutschland seit dem 30.11.2022,
- sämtliche Agenden der Sitzungen des Beirats Digitalstrategie Deutschland seit dem 30.11.2022.

Dies ist ein Antrag auf Zugang zu amtlichen Informationen nach § 1 des Gesetzes zur Regelung des Zugangs zu Informationen des Bundes (IFG) sowie § 3 Umweltinformationsgesetz (UIG), soweit Umweltinformationen im Sinne des § 2 Abs. 3 UIG betroffen sind, sowie § 1 des Gesetzes zur Verbesserung der gesundheitsbezogenen Verbraucherinformation (VIG), soweit Informationen im Sinne des § 1 Abs. 1 VIG betroffen sind.

Sollte der Informationszugang Ihres Erachtens gebührenpflichtig sein, möchte ich Sie bitten, mir dies vorab mitzuteilen und detailliert die zu erwartenden Kosten aufzuschlüsseln. Meines Erachtens handelt es sich um eine einfache Auskunft. Gebühren fallen somit nach § 10 IFG bzw. den anderen Vorschriften nicht an. Auslagen dürfen nach BVerwG 7 C 6.15 nicht berechnet werden. Sollten Sie Gebühren veranschlagen wollen, bitte ich gemäß § 2 IFGGebV um Befreiung oder hilfsweise Ermäßigung der Gebühren.

Ich verweise auf § 7 Abs. 5 IFG/§ 3 Abs. 3 Satz 2 Nr. 1 UIG/§ 4 Abs. 2 VIG und bitte Sie, mir die erbetenen Informationen so schnell wie möglich, spätestens nach Ablauf eines Monats zugänglich zu machen. Kann diese Frist nicht eingehalten werden, müssen Sie mich darüber innerhalb der Frist informieren.

Ich bitte Sie um eine Antwort per E-Mail gemäß § 1 Abs. 2 IFG. Ich widerspreche ausdrücklich der Weitergabe meiner Daten an behördenexterne Dritte. Sollten Sie meinen Antrag ablehnen wollen, bitte ich um Mitteilung der Dokumententitel und eine ausführliche Begründung.

Ich möchte Sie um eine Empfangsbestätigung bitten und danke Ihnen für Ihre Mühe!

Mit freundlichen Grüßen",Beirat Digitalstrategie Deutschland: Sitzungsprotokolle und Agenden
236948,"den ""Erlass zum Vorgehen bei Störungen der schulorganisatorischen Abläufe durch Anordnungen der Gesundheitsämter zur Absonderung (Isolation oder Quarantäne) wegen einer Infektion durch das neuartige Coronavirus (SARS-CoV-2)"" einschließlich der ""Prüfkriterien zur Feststellung des besonderen Bedarfsfalls"" in der neuesten Fassung (meines Wissens vom 5.1.2022).",Erlass zum Vorgehen bei Störungen der schulorganisatorischen Abläufe incl. Prüfkriterien
